"","Rank","Title","Description","Runtime","Genre","Rating","Votes","Gross_in_Mil","Director","Actor"
"1",1,"Once Upon a Time in... Hollywood","    A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.",161,"Comedy",8.2,103105,115.3,"Quentin Tarantino","Leonardo DiCaprio"
"2",2,"Scary Stories to Tell in the Dark","    A group of teens face their fears in order to save their lives.",108,"Horror",6.5,9684,41.28,"André Øvredal","Zoe Margaret Colletti"
"3",3,"Fast & Furious Presents: Hobbs & Shaw","    Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",137,"Action",6.8,52067,135.1,"David Leitch","Dwayne Johnson"
"4",4,"Little Women","    Four sisters come of age in America in the aftermath of the Civil War.",NA,"Drama",NA,NA,NA,"Greta Gerwig","Florence Pugh"
"5",5,"Avengers: Endgame","    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action",8.6,529369,858.1,"Anthony Russo","Robert Downey Jr."
"6",6,"The Lion King","    After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",118,"Animation",7.1,87098,497.8,"Jon Favreau","Donald Glover"
"7",7,"Last Christmas","    Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",NA,"Comedy",NA,NA,NA,"Paul Feig","Emilia Clarke"
"8",8,"Gisaengchung","    All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",132,"Comedy",8.6,16527,NA,"Joon-ho Bong","Kang-ho Song"
"9",9,"Good Boys","    Three sixth grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",89,"Adventure",6.8,4681,23.64,"Gene Stupnitsky","Jacob Tremblay"
"10",10,"Aladdin","    A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",128,"Adventure",7.2,106917,353.5,"Guy Ritchie","Will Smith"
"11",11,"Dora and the Lost City of Gold","    Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.",102,"Adventure",6,3077,34.81,"James Bobin","Isabela Moner"
"12",12,"It Chapter Two","    Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",169,"Horror",NA,NA,NA,"Andy Muschietti","Bill Skarsgård"
"13",13,"Godzilla: King of the Monsters","    The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",132,"Action",6.3,68317,110.4,"Michael Dougherty","Kyle Chandler"
"14",14,"Dolemite Is My Name","    When Hollywood shuts him out, multi-talented Rudy Ray Moore strikes out on his own to make the blaxploitation film Dolemite (1975).",118,"Biography",NA,NA,NA,"Craig Brewer","Eddie Murphy"
"15",15,"The Art of Racing in the Rain","    Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",109,"Comedy",7.3,1981,17.55,"Simon Curtis","Milo Ventimiglia"
"16",16,"Spider-Man: Far from Home","    Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",129,"Action",7.9,152418,377,"Jon Watts","Tom Holland"
"17",17,"Brightburn","    What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",90,"Horror",6.2,34460,17.3,"David Yarovesky","Elizabeth Banks"
"18",18,"The Peanut Butter Falcon","    Zak runs away from his care home to make his dream of becoming a wrestler come true.",93,"Adventure",7.5,893,0.58,"Tyler Nilson","Shia LaBeouf"
"19",19,"The Kitchen","    The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.",102,"Action",5.2,2035,10.61,"Andrea Berloff","Melissa McCarthy"
"20",20,"Operation Brothers","    Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.",129,"Drama",6.5,10915,NA,"Gideon Raff","Mbulelo Grootboom"
"21",21,"Alita: Battle Angel","    A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",122,"Action",7.4,146969,85.71,"Robert Rodriguez","Rosa Salazar"
"22",22,"Joker","    An original standalone origin story of the iconic villain not seen before on the big screen, it's a gritty character study of Arthur Fleck, a man disregarded by society, and a broader cautionary tale.",122,"Crime",NA,NA,NA,"Todd Phillips","Robert De Niro"
"23",23,"Midsommar","    A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.",147,"Drama",7.6,32231,25.94,"Ari Aster","Florence Pugh"
"24",24,"Ready or Not","    A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.",95,"Horror",7.2,603,NA,"Matt Bettinelli-Olpin","Samara Weaving"
"25",25,"47 Meters Down: Uncaged","    Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.",90,"Adventure",5.3,933,9.18,"Johannes Roberts","Sophie Nélisse"
"26",26,"Rocketman","    A musical fantasy about the fantastical human story of Elton John's breakthrough years.",121,"Biography",7.5,54505,96.1,"Dexter Fletcher","Taron Egerton"
"27",27,"John Wick: Chapter 3 - Parabellum","    Super-assassin John Wick is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head - he is the target of hit men and women everywhere.",131,"Action",7.8,129856,170.6,"Chad Stahelski","Keanu Reeves"
